age,anger,disgust,fear,joy,sadness
22,22.96,11.03,35.43,1.23,30.06
20,24.61,15.95,15.88,4.72,18.14
28,29.36,27.33,28.99,1.36,8.12
20,29.71,36.96,19.42,3.87,31.7
24,29.98,27.62,23.94,0.89,21.34
23,21.09,28.49,39.89,1.97,6.14
26,20.55,20.16,32.93,2.29,31.28
23,25.21,22.01,27.0,2.93,11.59
24,25.89,15.56,21.0,4.69,6.68
22,24.49,34.79,33.83,4.67,21.8
22,29.55,21.85,43.16,4.92,36.67
21,29.23,13.44,46.43,1.31,10.32
24,22.83,31.47,10.96,4.81,24.41
30,23.02,10.1,46.58,0.23,36.73
21,26.09,16.4,13.35,3.32,31.36
21,20.02,11.96,12.03,1.43,12.59
22,20.5,19.65,21.39,3.18,35.29
20,20.54,26.44,10.06,4.45,14.1
28,25.61,33.27,46.06,4.52,31.81
26,24.94,15.63,29.99,4.4,36.26
23,21.64,19.06,11.45,2.5,30.04
30,24.22,36.0,10.92,0.44,7.7
29,29.3,23.8,10.71,2.59,21.41
26,24.66,37.72,28.1,3.67,5.32
23,22.97,14.37,21.36,2.73,34.17
28,25.16,16.51,47.96,1.15,34.9
27,24.61,30.93,31.15,0.97,8.22
30,27.91,12.64,13.63,1.75,7.86
26,21.41,19.0,32.34,1.81,13.21
29,22.97,36.16,12.73,4.06,21.99
30,29.21,33.3,47.78,4.4,39.25
21,23.02,27.03,19.47,0.65,23.34
29,28.85,19.77,21.66,4.27,36.24
20,27.39,34.47,12.38,4.94,35.61
26,29.08,36.75,43.15,1.97,28.94
28,27.68,15.76,49.66,4.62,38.74
25,21.33,37.77,24.51,0.32,21.93
30,21.43,10.64,42.53,1.41,21.61
22,25.49,26.55,28.22,3.03,7.21
30,20.2,30.65,11.72,2.8,28.77
27,22.28,23.45,36.48,3.85,27.97
23,24.92,10.94,43.33,3.11,20.85
25,23.96,32.81,48.56,4.37,16.87
25,27.72,12.76,20.54,2.68,10.99
21,30.0,35.63,49.37,3.86,15.69
20,26.31,14.12,14.76,1.02,17.66
22,28.08,18.41,42.29,2.16,11.08
26,21.94,36.51,40.19,1.53,38.76
25,27.49,14.76,32.57,0.01,6.69
25,27.82,26.9,36.56,0.82,26.77
