age,anger,disgust,fear,joy,sadness
25,39.13,16.46,21.72,5.19,20.58
30,45.34,14.94,29.4,6.29,22.87
30,21.07,17.84,34.85,7.78,24.32
20,42.52,15.68,37.06,0.32,22.06
25,46.84,17.91,23.8,9.0,21.46
30,28.47,11.95,11.51,8.56,20.08
22,30.3,17.97,33.8,4.64,23.74
29,41.19,13.49,20.65,1.49,21.52
20,49.58,19.43,37.82,5.49,21.79
26,21.85,18.95,10.29,0.8,23.26
20,33.87,14.57,32.01,0.02,23.35
26,26.49,14.6,38.91,1.21,23.66
21,32.47,18.28,33.26,0.71,22.47
29,45.41,17.12,34.41,8.8,24.43
30,24.15,18.14,35.57,7.23,24.83
28,37.78,11.16,35.69,4.76,22.94
28,41.0,18.84,17.07,0.12,23.15
24,34.92,17.07,35.76,1.88,24.14
27,46.41,16.27,23.67,1.88,21.46
24,28.33,10.37,38.58,8.05,20.59
28,24.79,11.92,30.96,1.11,22.99
27,32.72,16.0,36.12,3.93,22.87
26,37.48,18.16,33.74,3.06,21.83
28,39.89,12.31,21.13,7.19,20.9
25,35.57,10.45,15.64,9.43,24.65
29,24.28,15.3,21.41,4.26,24.8
23,35.84,12.75,20.74,4.86,23.8
30,30.32,18.95,34.29,2.22,21.62
22,25.05,19.96,27.84,8.91,21.19
26,49.48,19.61,35.86,5.25,24.21
20,21.89,18.6,10.3,6.47,22.09
28,49.43,19.75,24.02,2.03,22.14
27,21.5,17.69,34.47,7.57,20.65
25,28.83,11.46,16.78,0.67,24.9
27,24.95,11.69,39.06,0.56,21.53
27,49.93,16.54,19.51,8.65,22.99
22,29.74,13.55,24.18,9.62,24.39
26,21.83,18.7,17.32,4.03,24.11
30,42.65,13.19,23.08,0.84,24.13
28,34.66,17.95,15.02,3.72,21.13
29,33.54,16.53,34.48,8.86,22.64
29,30.23,12.43,30.12,5.24,22.8
27,33.26,13.31,18.63,0.66,21.67
22,36.32,19.39,34.9,3.95,24.8
21,43.82,15.69,21.19,4.36,21.93
23,41.23,13.25,35.14,0.2,21.97
20,39.3,12.29,23.81,7.95,24.16
25,40.62,12.24,31.63,6.74,22.93
27,47.97,19.82,16.17,7.16,23.87
23,48.31,10.27,13.12,8.11,24.35
